역번호,역명,기준일자,이용요일,구분명,총인원수,01시-02시,02시-03시,03시-04시,04시-05시,05시-06시,06시-07시,07시-08시,08시-09시,09시-10시,10시-11시,11시-12시,12시-13시,13시-14시,14시-15시,15시-16시,16시-17시,17시-18시,18시-19시,19시-20시,20시-21시,21시-22시,22시-23시,23시-24시,24시-01시
97,낫개,2025-01-16,목,하차,5273,0,0,0,1,10,67,104,266,146,182,256,324,275,339,492,452,526,650,356,256,248,172,100,51
97,낫개,2025-01-17,금,승차,5474,0,0,0,16,136,204,487,614,428,458,411,379,365,353,306,268,343,286,158,97,83,49,32,1
97,낫개,2025-01-17,금,하차,5654,0,0,0,1,11,61,104,296,191,214,268,351,344,343,441,496,584,633,417,245,230,228,135,61
97,낫개,2025-01-18,토,승차,4512,0,0,0,17,100,108,188,306,381,404,446,429,371,293,310,325,269,179,136,97,62,72,17,2
97,낫개,2025-01-18,토,하차,4542,0,0,0,1,15,57,70,133,155,174,295,287,350,311,374,427,469,391,253,211,233,161,129,46
97,낫개,2025-01-19,일,승차,3043,0,0,0,5,62,75,101,189,278,281,303,286,289,247,196,193,154,92,105,59,63,47,16,2
97,낫개,2025-01-19,일,하차,3205,0,0,0,0,6,46,50,68,97,128,143,176,223,260,296,313,312,312,213,198,143,108,84,29
97,낫개,2025-01-20,월,승차,5445,0,0,0,14,123,209,515,633,471,505,419,357,389,332,324,268,328,232,99,96,69,44,17,1
97,낫개,2025-01-20,월,하차,5627,0,0,0,1,14,61,101,309,200,223,298,347,343,369,462,512,569,657,417,236,210,156,108,34
97,낫개,2025-01-21,화,승차,5350,0,0,0,19,120,215,537,590,456,468,417,344,372,370,294,249,360,240,102,88,49,41,16,3
97,낫개,2025-01-21,화,하차,5453,0,0,0,1,14,56,103,311,159,213,309,322,308,342,446,458,551,663,386,262,200,190,123,36
97,낫개,2025-01-22,수,승차,5335,0,0,0,17,121,213,535,613,447,457,410,328,359,341,301,288,316,239,115,105,50,66,13,1
